event_num,interaction_num,index,crystal,edep,x,y,z,slice_sect,time
1606,4,5682,23,156.457,-4.939,16.402,-17.003,3,40641795.268
1607,0,5683,23,20.653,-2.057,17.253,-17.406,0,250113015.165
1607,1,5684,23,753.982,-2.448,19.054,-19.792,20,250113015.266
1607,2,5685,23,234.771,-1.507,19.301,-18.024,20,250113015.333
1608,0,5686,28,403.89,-12.495,8.618,-18.647,2,298568593.182
1608,1,5688,28,414.496,-12.071,9.212,-19.652,3,298568593.236
1609,0,5689,9,760.552,-3.548,-4.016,-22.859,2,213592540.903
1610,0,5690,9,153.997,-2.32,-6.578,-25.664,20,41981255.359
1611,0,5691,18,1049.041,6.018,18.306,-13.937,3,44552916.285
1612,0,5692,42,85.067,20.779,-3.989,-13.886,15,228161024.617
1612,1,5693,42,273.119,23.461,-3.905,-14.73,35,228161024.71
1613,0,5694,30,25.846,-20.404,-8.975,-16.241,35,4985190.25
1613,1,5695,30,495.205,-21.301,-9.625,-17.108,35,4985190.296
1613,2,5696,30,77.163,-21.226,-10.123,-17.165,35,4985190.313
1613,3,5697,30,207.464,-21.48,-10.803,-16.861,45,4985190.339
1613,4,5699,30,39.899,-21.002,-9.959,-16.255,35,4985190.379
1613,5,5700,30,139.436,-20.721,-10.52,-16.057,35,4985190.399
1614,0,5702,35,993.64,-5.916,-17.627,-17.815,13,59354508.592
1615,0,5703,10,126.104,3.968,-10.658,-22.122,13,101714660.777
1615,1,5704,10,365.871,3.411,-11.626,-24.108,23,101714660.853
1615,2,5706,10,236.238,4.004,-12.778,-24.62,34,101714660.901
1615,3,5708,10,136.86,3.448,-12.99,-25.652,34,101714660.943
1615,4,5709,10,130.361,4.208,-13.016,-25.655,43,101714660.967
1616,0,5710,2,794.938,12.971,10.421,-27.194,51,76614849.398
1616,1,5712,2,198.106,12.258,10.091,-25.674,41,76614849.456
1617,0,5713,11,355.599,-7.854,-13.345,-22.649,33,211701161.589
1617,1,5715,11,188.409,-7.65,-14.121,-23.086,33,211701161.623
1617,2,5716,35,35.132,-8.016,-17.192,-22.209,41,211701161.728
1617,3,5717,35,196.481,-11.23,-21.81,-20.936,55,211701161.921
1617,4,5718,35,55.618,-10.229,-21.06,-19.174,45,211701161.992
1617,5,5719,33,130.793,-12.908,-18.504,-17.475,31,211701162.128
1618,0,5720,35,616.085,-6.638,-17.601,-17.857,23,10002081.102
1618,1,5721,35,367.531,-6.591,-18.068,-17.543,24,10002081.121
1619,0,5722,41,595.205,13.88,-10.347,-16.903,3,62837818.49
1619,1,5723,43,133.144,18.188,-9.17,-15.684,15,62837818.644
1619,2,5724,43,134.55,18.715,-9.936,-14.776,14,62837818.687
1619,3,5725,43,10.786,19.087,-8.455,-15.646,25,62837818.746
1619,4,5727,43,100.824,19.691,-8.718,-16.256,25,62837818.782
1620,0,5728,33,764.543,-14.116,-13.491,-17.101,25,26875614.901
1621,0,5729,40,99.09,8.026,-12.173,-19.819,5,87525997.676
1621,1,5730,40,156.809,8.837,-12.62,-21.927,25,87525997.753
1622,0,5731,41,297.782,14.607,-13.118,-16.728,15,15176730.591
1622,1,5732,41,55.443,17.388,-14.259,-17.123,34,15176730.693
1623,0,5733,0,457.959,4.524,2.744,-27.278,33,19132703.578
1624,0,5734,28,250.822,-14.501,6.252,-18.495,0,101433697.511
1624,1,5735,28,722.378,-16.229,7.234,-19.016,20,101433697.58
1625,0,5737,16,720.179,14.64,0.751,-20.257,13,42183424.67
1625,1,5738,16,8.943,14.928,-0.073,-19.093,3,42183424.716
1625,2,5739,16,69.839,15.311,-0.699,-18.547,2,42183424.746
1626,0,5741,25,818.388,-10.6,21.634,-12.896,23,76003335.312
1626,1,5743,25,197.894,-8.349,20.51,-13.932,23,76003335.404
1627,0,5744,7,96.463,-9.52,-7.049,-29.24,52,135213118.414
1628,0,5745,33,350.243,-10.825,-15.013,-17.59,10,48261325.092
1628,1,5748,33,622.491,-11.129,-16.019,-17.732,20,48261325.136
1629,0,5749,25,713.125,-13.758,19.983,-13.707,32,163379732.762
1630,0,5752,12,269.065,6.534,-1.471,-23.55,15,76305147.278
1631,0,5753,36,386.409,6.133,-21.621,-16.744,33,33503249.88
1631,1,5754,36,18.835,7.446,-22.598,-16.91,43,33503249.935
1631,2,5755,39,337.169,11.04,-23.935,-16.726,54,33503250.063
1631,3,5756,39,256.543,11.793,-21.479,-16.18,43,33503250.151
1632,0,5757,6,40.231,-3.351,0.274,-27.508,34,149871569.4
1632,1,5758,6,239.822,-3.423,0.151,-28.035,34,149871569.418
1632,2,5759,6,105.312,-4.185,-0.849,-29.108,44,149871569.473
