event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
90,7,20,101.026,124.800,137.435,-233.804,42,18926140.635
91,1,3,261.593,-30.287,41.708,-279.146,34,37609569.506
91,2,3,240.809,-29.591,41.295,-281.855,34,37609569.515
91,3,3,209.138,-25.727,46.711,-287.904,44,37609569.545
91,4,3,6.917,-12.375,39.911,-291.532,44,37609569.596
91,5,3,117.165,1.678,37.745,-294.100,43,37609569.645
92,1,7,663.517,-82.677,-55.084,-217.129,03,28968616.521
92,2,7,183.273,-83.837,-49.294,-218.132,02,28968616.541
92,3,7,22.923,-83.800,-49.550,-218.048,02,28968616.541
93,1,19,295.496,139.960,139.404,-131.899,03,121889799.275
94,1,16,431.304,211.652,30.188,-210.352,41,115482838.413
94,2,16,393.008,212.573,30.355,-210.246,41,115482838.416
94,3,16,65.948,210.403,30.049,-210.743,41,115482838.423
94,4,16,109.740,214.596,34.276,-209.880,41,115482838.443
95,1,7,680.391,-91.320,-26.552,-252.484,20,110974219.930
95,2,7,27.213,-110.926,-23.347,-243.754,20,110974220.002
95,3,8,11.696,-118.535,-16.172,-239.411,21,110974220.040
95,4,8,280.700,-133.564,-10.614,-233.891,21,110974220.096
96,1,39,223.599,143.543,-225.990,-151.910,43,1622313.401
96,2,39,19.718,141.630,-229.752,-152.302,53,1622313.415
96,3,39,53.992,140.844,-230.165,-153.324,53,1622313.419
96,4,39,9.767,140.876,-230.169,-153.186,53,1622313.420
97,1,36,790.051,16.326,-200.103,-186.009,20,16088743.195
97,2,37,51.364,-11.783,-188.403,-159.260,00,16088743.330
97,3,37,60.096,-20.755,-183.151,-167.088,15,16088743.374
97,4,37,98.489,-19.540,-181.822,-165.497,15,16088743.382
98,1,33,729.743,-114.030,-157.919,-155.488,01,133248813.908
98,2,33,117.521,-111.140,-154.533,-158.441,00,133248813.926
98,3,33,152.736,-120.167,-152.114,-157.459,00,133248813.958
99,1,18,379.804,82.726,188.618,-201.081,31,112766801.350
100,1,40,447.742,46.735,-141.197,-204.125,13,89743962.631
100,2,40,262.865,46.425,-145.106,-204.688,13,89743962.644
100,3,40,114.266,46.435,-145.480,-203.518,13,89743962.648
100,4,40,175.126,51.034,-139.327,-202.847,13,89743962.674
101,1,44,268.763,140.144,-45.395,-195.029,03,47902475.718
101,2,44,489.220,146.920,-65.791,-216.149,22,47902475.818
101,3,44,30.595,136.248,-62.195,-216.419,23,47902475.856
101,4,44,137.995,128.457,-43.242,-214.306,13,47902475.988
102,1,28,15.800,-143.252,82.528,-181.656,01,117865234.547
102,2,28,742.216,-164.404,100.615,-210.079,31,117865234.679
102,3,28,27.963,-145.068,98.003,-206.686,22,117865234.745
102,4,28,23.097,-140.271,94.354,-200.414,22,117865234.774
102,5,28,190.924,-145.400,77.699,-183.109,01,117865234.856
103,1,21,549.406,5.124,242.047,-215.073,50,299487140.493
104,1,40,145.718,100.339,-145.654,-177.666,10,37898549.708
104,2,39,466.903,113.235,-163.777,-186.213,20,37898549.788
