event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
68,5,31,114.971,-235.302,-60.674,-164.304,41,79466962.472
69,1,1,201.024,69.317,123.808,-232.874,24,68861960.937
69,2,20,178.637,83.698,128.047,-230.969,33,68861960.987
70,1,30,476.659,-159.430,-106.671,-187.590,21,109161529.488
70,2,33,98.763,-160.203,-154.736,-196.927,45,109161529.651
70,3,33,35.358,-155.336,-164.152,-204.791,45,109161529.695
70,4,35,44.750,-125.130,-188.097,-220.923,50,109161529.835
70,5,35,63.475,-124.878,-188.609,-220.933,50,109161529.837
70,6,35,121.826,-117.255,-190.889,-219.389,50,109161529.864
70,7,35,159.169,-117.124,-188.952,-220.158,50,109161529.871
71,1,0,599.340,61.571,43.218,-256.449,20,388004186.075
71,2,0,214.068,59.572,45.550,-257.220,20,388004186.085
71,3,0,186.593,65.558,42.064,-264.215,20,388004186.118
72,1,38,697.978,1.445,-162.158,-247.992,43,170740437.588
72,2,38,5.667,-3.987,-162.672,-246.507,43,170740437.607
72,3,11,7.505,-46.575,-155.204,-237.046,32,170740437.754
72,4,11,288.849,-49.953,-154.710,-235.127,32,170740437.767
73,1,6,343.114,-94.600,22.001,-260.152,31,163015439.941
73,2,6,401.127,-95.709,20.276,-262.115,31,163015439.950
73,3,6,255.759,-92.763,21.431,-263.840,31,163015439.962
74,1,41,45.240,139.331,-96.620,-182.125,13,15871191.305
74,2,44,37.296,165.683,-86.749,-200.405,31,15871191.448
74,3,44,188.582,163.171,-89.134,-204.362,31,15871191.466
75,1,8,99.776,-104.017,-11.829,-222.088,00,162003769.919
75,2,8,615.382,-115.754,-2.494,-261.271,30,162003770.059
75,3,8,284.842,-109.443,1.845,-258.408,30,162003770.086
76,1,18,230.555,70.970,170.159,-183.759,21,141321592.517
76,2,18,4.643,74.135,164.599,-176.284,11,141321592.550
76,3,18,41.769,75.373,161.212,-173.738,11,141321592.564
77,1,18,28.248,88.606,177.552,-154.514,05,58138535.068
78,1,22,38.864,20.160,143.095,-217.515,24,27224882.259
78,2,22,110.081,18.536,147.665,-217.737,24,27224882.275
78,3,22,151.033,18.556,149.919,-213.076,24,27224882.292
78,4,22,22.450,18.538,149.906,-213.149,24,27224882.292
78,5,22,113.577,18.006,149.728,-213.107,24,27224882.294
79,1,12,11.463,22.182,-39.412,-247.994,13,63429944.467
79,2,12,163.701,22.195,-39.441,-248.420,13,63429944.468
79,3,12,598.496,27.451,-43.727,-260.282,23,63429944.514
79,4,12,104.661,21.609,-38.702,-258.872,23,63429944.540
79,5,12,121.679,24.451,-42.983,-258.618,23,63429944.557
80,1,27,413.386,-197.457,98.960,-188.392,35,6044119.213
80,2,27,215.676,-199.480,94.986,-195.251,45,6044119.241
80,3,27,164.355,-200.137,105.245,-194.305,45,6044119.275
81,1,33,193.060,-126.131,-143.019,-137.916,04,40410137.715
81,2,33,227.426,-137.262,-148.824,-159.700,15,40410137.799
81,3,33,128.767,-146.300,-159.516,-165.339,25,40410137.849
81,4,33,268.788,-146.749,-164.990,-165.353,25,40410137.867
81,5,33,13.971,-141.588,-161.960,-166.212,25,40410137.887
81,6,33,16.297,-141.467,-161.687,-166.327,25,40410137.889
82,1,26,485.353,-94.598,119.114,-224.164,23,22499817.959
82,2,26,333.824,-131.092,135.332,-224.857,45,22499818.092
82,3,26,180.824,-126.226,136.057,-224.126,35,22499818.109
83,1,21,667.834,-12.542,189.468,-156.206,11,224725820.100
83,2,21,41.871,0.074,191.962,-153.083,01,224725820.144
84,1,32,770.815,-167.308,-23.926,-215.960,22,110668185.995
84,2,32,21.502,-165.976,-27.487,-210.166,22,110668186.018
84,3,32,88.711,-174.007,-35.208,-197.087,21,110668186.075
84,4,32,118.972,-172.045,-35.816,-198.772,21,110668186.084
85,1,36,790.165,29.879,-236.844,-171.617,45,10886208.222
85,2,36,209.835,30.364,-226.146,-166.997,35,10886208.261
86,1,44,694.224,176.681,-79.870,-192.687,21,204903122.678
86,2,44,11.227,158.242,-73.146,-207.909,22,204903122.761
86,3,44,16.953,149.611,-66.964,-221.803,32,204903122.819
86,4,13,35.808,106.947,-42.539,-235.152,25,204903122.993
87,1,24,655.401,-135.465,145.386,-146.147,05,14440796.452
87,2,24,74.193,-144.338,147.553,-136.904,15,14440796.495
88,1,29,108.176,-191.451,28.205,-207.484,31,282515642.678
88,2,29,127.776,-187.242,20.319,-210.123,31,282515642.709
89,1,14,14.357,117.724,-67.341,-217.098,11,24984986.061
90,1,27,786.279,-232.409,91.731,-159.873,42,825074.283
90,2,27,32.149,-232.021,91.376,-159.774,42,825074.285
90,3,27,18.701,-226.798,90.149,-151.322,33,825074.318
90,4,27,45.365,-226.796,90.227,-151.183,33,825074.319
90,5,27,117.506,-224.258,86.851,-151.028,32,825074.333
91,1,12,29.261,55.900,-16.260,-279.558,34,35836814.680
91,2,12,756.819,57.325,-20.339,-303.055,54,35836814.760
91,3,12,6.893,63.022,-20.252,-291.827,45,35836814.802
91,4,12,35.545,65.672,-23.748,-281.175,35,35836814.840
91,5,12,62.452,68.590,-22.913,-280.054,35,35836814.851
91,6,12,109.030,66.969,-22.426,-279.711,35,35836814.857
92,1,18,538.900,112.153,233.595,-185.031,54,287098536.552
93,1,10,252.794,22.472,-70.651,-230.267,01,167289392.428
93,2,10,747.206,28.101,-75.253,-236.694,11,167289392.461
94,1,29,274.165,-165.281,46.238,-170.016,00,51242651.778
94,2,28,334.890,-196.883,101.509,-211.325,41,51242652.031
95,1,3,699.324,-0.815,87.748,-232.516,11,88265106.429
95,2,23,22.058,-50.677,172.234,-197.478,22,88265106.776
95,3,23,145.972,-53.630,173.791,-196.342,22,88265106.788
95,4,23,132.647,-40.513,163.435,-208.321,22,88265106.857
96,1,8,234.977,-97.785,6.906,-225.893,00,95511705.136
96,2,8,165.466,-145.009,7.336,-257.779,41,95511705.326
96,3,8,407.984,-152.126,1.026,-263.923,41,95511705.363
96,4,8,70.427,-149.866,1.341,-260.636,41,95511705.377
96,5,8,121.146,-149.935,0.359,-261.133,41,95511705.380
97,1,28,785.571,-130.709,58.650,-205.441,14,47018157.071
97,2,28,97.548,-130.155,54.338,-197.834,04,47018157.100
97,3,28,116.882,-132.341,57.344,-200.549,04,47018157.116
98,1,16,741.571,181.885,35.981,-197.587,20,54809380.228
98,2,16,78.797,146.930,11.476,-203.648,13,54809380.372
98,3,16,21.903,148.296,9.009,-204.391,13,54809380.381
98,4,16,35.134,146.679,5.656,-203.803,13,54809380.394
98,5,16,122.594,147.718,5.762,-200.133,03,54809380.407
99,1,19,307.103,130.844,157.091,-150.342,10,178207961.931
99,2,20,152.588,129.199,186.481,-226.659,50,178207962.204
100,1,29,788.571,-200.651,13.169,-166.965,24,225508289.040
100,2,29,20.802,-192.515,15.740,-153.320,14,225508289.094
100,3,29,22.771,-192.594,17.443,-151.521,04,225508289.102
101,1,11,570.153,-43.142,-117.032,-286.674,50,21201420.797
101,2,11,75.651,-45.819,-113.704,-289.332,50,21201420.814
101,3,9,354.197,-44.875,-93.459,-300.381,51,21201420.891
102,1,27,187.522,-172.986,68.947,-178.134,10,10399514.901
102,2,27,488.209,-188.681,75.787,-183.028,20,10399514.960
102,3,27,169.869,-200.366,57.461,-177.013,20,10399515.035
102,4,27,35.904,-197.267,58.685,-177.245,20,10399515.046
102,5,27,118.496,-197.185,59.062,-173.022,20,10399515.061
103,1,12,706.398,49.435,-66.149,-240.697,11,43003833.224
104,1,26,155.172,-75.479,151.464,-203.189,22,23346245.577
104,2,26,489.813,-72.381,165.514,-232.664,42,23346245.687
105,1,19,452.149,116.562,165.905,-166.361,20,118061393.514
105,2,19,324.788,118.283,166.399,-166.413,20,118061393.520
105,3,18,43.544,110.095,177.115,-170.837,20,118061393.568
105,4,18,9.731,109.948,177.513,-173.290,20,118061393.576
105,5,18,169.788,110.191,176.217,-175.357,20,118061393.584
106,1,28,772.803,-159.056,77.369,-217.986,35,157400396.872
106,2,28,41.009,-159.322,77.707,-209.761,20,157400396.899
106,3,28,186.188,-160.373,94.197,-201.074,21,157400396.962
107,1,26,751.185,-92.585,109.405,-199.469,04,286836568.806
107,2,26,96.252,-91.048,106.327,-199.691,04,286836568.817
107,3,26,32.477,-95.220,105.477,-200.032,04,286836568.831
107,4,26,120.086,-96.763,106.382,-206.553,14,286836568.854
108,1,25,160.706,-141.928,220.360,-159.267,42,18382062.643
109,1,32,147.238,-155.760,-47.506,-187.049,00,76646078.149
109,2,32,38.845,-154.480,-48.616,-186.225,00,76646078.155
109,3,32,116.419,-153.959,-48.694,-187.407,00,76646078.160
110,1,42,732.047,227.216,-19.570,-176.998,33,10061536.510
110,2,42,131.829,229.914,-2.328,-160.735,33,10061536.590
110,3,42,48.213,229.556,-3.263,-161.199,33,10061536.593
110,4,42,87.911,229.620,-3.233,-161.204,33,10061536.594
111,1,19,100.784,162.733,182.100,-153.972,32,83142551.148
111,2,19,395.092,186.150,193.411,-176.514,53,83142551.263
111,3,19,145.737,187.178,192.775,-176.780,53,83142551.267
111,4,19,190.972,202.390,185.120,-169.567,53,83142551.358
112,1,42,462.772,216.564,-29.005,-132.101,14,272194852.150
113,1,8,90.793,-131.768,-0.744,-221.023,12,461189764.600
113,2,8,226.474,-132.712,-1.337,-222.449,12,461189764.606
